Domain,DR,Linking to Competitors,Opportunity Type,Priority
trademo.com,45,"Sucden; Wilmar",Industry directory,High
thailandbusinessnews.com,52,"Thai ag exporters",Trade publication guest post,High
foodexport.org,58,"Commodity traders",Resource page,Medium
agriexchange.com,41,"Rice exporters",Directory listing,High
globaltrade.net,48,"Sugar traders",B2B directory,High
exportgenius.in,44,"Ag commodity sites",Data citation,Medium
riceexportersassociation.com,38,"Rice specialists",Association directory,High
fao.org,92,"Industry reports",Statistics citation,Medium
just-food.com,72,"Food manufacturers",Digital PR,High
thepoultrysite.com,55,"Poultry exporters",Guest post,Medium
