Prospect Domain,DR,Contact Name,Email,Outreach Date,Follow-up 1,Follow-up 2,Status,Link Acquired,Link URL
trademo.com,45,TBD,editor@trademo.com,2026-08-20,,,Pending,N,
thailandbusinessnews.com,52,TBD,news@thailandbusinessnews.com,2026-08-20,,,Pending,N,
agriexchange.com,41,TBD,info@agriexchange.com,2026-08-22,,,Pending,N,
globaltrade.net,48,TBD,partnerships@globaltrade.net,2026-08-22,,,Pending,N,
riceexportersassociation.com,38,TBD,contact@riceexportersassociation.com,2026-08-25,,,Pending,N,
just-food.com,72,TBD,TBD,2026-08-25,,,Research,N,
foodexport.org,58,TBD,TBD,2026-08-27,,,Research,N,
exportgenius.in,44,TBD,TBD,2026-08-27,,,Research,N,
thepoultrysite.com,55,TBD,TBD,2026-09-01,,,Research,N,
alibaba.com/supplier,85,N/A,listing,2026-09-01,,,Pending,N,
