url,status,title,meta_description,h1,word_count,canonical,robots,indexable,page_type,flags
https://mahanakornco.com,200,"MAHANAKORN NAKO NAGARAJ CO., LTD | Your #1 Rice, Sugar, Edible Cooking Oil and Fertilizer Supplier","MAHANAKORN NAKO NAGARAJ CO., LTD is a trusted wholesale supplier of sugar, rice, fertilizer, and edible cooking oil from Thailand. Established in 2004.","Your Trusted Agricultural Commodities Partner",651,,index, follow,true,Homepage,"title_too_long; missing_canonical"
https://mahanakornco.com/about,200,"About Us | MAHANAKORN","Learn about MAHANAKORN NAKO NAGARAJ CO., LTD — a trusted wholesale supplier of agricultural commodities from Thailand since 2004.","About Us",395,,index, follow,true,Info,"missing_canonical"
https://mahanakornco.com/products,200,"Products | MAHANAKORN","Browse our full range of sugar, rice, fertilizers, edible cooking oil, and poultry products for wholesale export.","Our Products",3473,,index, follow,true,Product Hub,"missing_canonical"
https://mahanakornco.com/contact,200,"Contact Us | MAHANAKORN","Get in touch with MAHANAKORN NAKO NAGARAJ CO., LTD for wholesale quotes and product inquiries.","Get a Quote",226,,index, follow,true,Info,"missing_canonical; thin_content"
https://mahanakornco.com/ordering-procedures,200,"Ordering Procedures | MAHANAKORN","How to order agricultural commodities from MAHANAKORN NAKO NAGARAJ CO., LTD.","Ordering Procedures",374,,index, follow,true,Info,"missing_canonical"
https://mahanakornco.com/quality-control,200,"Quality Control | MAHANAKORN","Quality assurance standards at MAHANAKORN NAKO NAGARAJ CO., LTD.","Quality Control",335,,index, follow,true,Info,"missing_canonical"
https://mahanakornco.com/sustainability,200,"Sustainability | MAHANAKORN","Environmental and social responsibility at MAHANAKORN NAKO NAGARAJ CO., LTD.","Sustainability",321,,index, follow,true,Info,"missing_canonical"
https://mahanakornco.com/privacy-policy,200,"Privacy Policy | MAHANAKORN","Privacy policy for MAHANAKORN NAKO NAGARAJ CO., LTD.","Privacy Policy",525,,index, follow,true,Legal,"missing_canonical"
https://mahanakornco.com/sugar,200,"Sugar | MAHANAKORN","Premium ICUMSA cane sugar varieties sourced from Thailand.","Sugar",426,,index, follow,true,Category,"missing_canonical"
https://mahanakornco.com/fertilizers,200,"Fertilizers | MAHANAKORN","High-quality agricultural fertilizers and micronutrients.","Fertilizers",1413,,index, follow,true,Category,"missing_canonical"
