Keyword,Volume,Difficulty,Intent,Assigned Page URL,Page Type,Gap,Priority
"agricultural commodities exporter Thailand",720,45,Commercial,https://mahanakornco.com/,Homepage,N,High
"MAHANAKORN agricultural supplier",90,20,Navigational,https://mahanakornco.com/about,About,N,Medium
"wholesale agricultural products Thailand",480,42,Commercial,https://mahanakornco.com/products,Product Hub,N,High
"ICUMSA sugar wholesale supplier",1200,48,Commercial,https://mahanakornco.com/sugar,Category,N,High
"Thai jasmine rice bulk supplier",880,44,Commercial,https://mahanakornco.com/rice,Category,N,High
"NPK fertilizer wholesale Thailand",590,40,Commercial,https://mahanakornco.com/fertilizers,Category,N,High
"RBD edible cooking oil bulk",650,43,Commercial,https://mahanakornco.com/edible-cooking-oil,Category,N,High
"poultry products wholesale export",320,38,Commercial,https://mahanakornco.com/poultry-products,Category,N,Medium
"cashew pistachio nuts wholesale",410,41,Commercial,https://mahanakornco.com/nuts,Category,N,Medium
"bulk commodity ordering process",210,28,Informational,https://mahanakornco.com/ordering-procedures,Info,N,High
"agricultural export quality control",260,32,Informational,https://mahanakornco.com/quality-control,Info,N,High
"sustainable agriculture Thailand export",180,30,Informational,https://mahanakornco.com/sustainability,Info,N,Medium
"agricultural commodities quote request",150,25,Transactional,https://mahanakornco.com/contact,Contact,N,High
"MAHANAKORN privacy policy",10,5,Navigational,https://mahanakornco.com/privacy-policy,Legal,N,Low
"agricultural export FAQ",340,35,Informational,https://mahanakornco.com/faq,FAQ,Y,High
"commodity trading glossary ICUMSA",280,30,Informational,https://mahanakornco.com/glossary,Glossary,Y,High
"ICUMSA sugar grades explained",920,38,Informational,https://mahanakornco.com/guides/icumsa-sugar-grades,Pillar,Y,High
"how to import rice from Thailand",760,42,Informational,https://mahanakornco.com/guides/thai-rice-export,Pillar,Y,High
"1121 Sella Basmati Rice bulk supplier",120,35,Commercial,https://mahanakornco.com/products/1121-sella-basmati-rice,Product,N,Medium
"Agriventure Calcium Nitrate Water Soluble Fertilizer wholesale",120,35,Commercial,https://mahanakornco.com/products/agriventure-calcium-nitrate-water-soluble-fertilizer,Product,N,Medium
"Agriventure Magnesium Sulfate Water Soluble Fertilizer wholesale",120,35,Commercial,https://mahanakornco.com/products/agriventure-magnesium-sulfate-water-soluble-fertilizer,Product,N,Medium
"Ammonium Sulfate wholesale Thailand",120,35,Commercial,https://mahanakornco.com/products/ammonium-sulfate,Product,N,Medium
"Arborio Rice bulk supplier",120,35,Commercial,https://mahanakornco.com/products/arborio-rice,Product,N,Medium
"Automotive Urea wholesale Thailand",120,35,Commercial,https://mahanakornco.com/products/automotive-urea,Product,N,Medium
"Barenbrug Algaturf Fertilizer wholesale",120,35,Commercial,https://mahanakornco.com/products/barenbrug-algaturf-fertilizer,Product,N,Medium
"Barenbrug K-PLUS fertilizer 2,5 kg wholesale",120,35,Commercial,https://mahanakornco.com/products/barenbrug-k-plus-fertilizer-25-kg,Product,N,Medium
"Barfertile Active Barenbrug wholesale Thailand",120,35,Commercial,https://mahanakornco.com/products/barfertile-active-barenbrug,Product,N,Medium
"Barfertile Ecolit wholesale Thailand",120,35,Commercial,https://mahanakornco.com/products/barfertile-ecolit,Product,N,Medium
